0.45299256;0.418146979;0.45299256;0.494173702;0.543591072;0.60399008;0.67948884;0.776558675;0.679533279;0.639560733;0.604029581;0.572238551;0.543626623;0.604029581;0.679533279;0.776609462;0.724835498;0.679533279;0.604029581;0.572238551;0.543626623;0.517739641;0.494497608;0.472997712
Generationen: 10;Crossover: ox2;C-Rate: 0.8;Mutation: Exchange;M-Rate: 0.6;RouletteWheel-S.;T-Size: ---;Reinsertion-Rate: 0.2;Generation-Gap: 0.2;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
223;32319;32561;141;5;6;5;;;;;;;;;;;;;;;;;
464;32254;32471;110;7;5;2;;;;;;;;;;;;;;;;;
1183;32226;32421;304;6;6;2;;;;;;;;;;;;;;;;;
49999;32226;32420;327;4;5;1;;;;;;;;;;;;;;;;;
Sat Aug 04 08:00:00 CEST 2018;Sat Aug 04 17:05:51 CEST 2018;;;;;;;;;;;;;;;;;;;;;;
Generationen: 50000;Crossover: ox2;C-Rate: 0.8;Mutation: Exchange;M-Rate: 0.8;Selection: Tournament;T-Size: 2;Reinsertion-Rate: 0.5;Generation-Gap: 0.5;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
3;32657;36146;1574;39;40;14;;;;;;;;;;;;;;;;;
4;32483;35286;1408;35;39;11;;;;;;;;;;;;;;;;;
9;32408;34266;2000;29;27;6;;;;;;;;;;;;;;;;;
14;31725;33099;841;25;21;6;;;;;;;;;;;;;;;;;
23;31437;32472;619;22;29;4;;;;;;;;;;;;;;;;;
327;31418;31518;46;7;6;2;;;;;;;;;;;;;;;;;
340;31402;31496;61;5;6;2;;;;;;;;;;;;;;;;;
656;31148;31446;76;6;6;2;;;;;;;;;;;;;;;;;
711;31144;31235;73;5;5;1;;;;;;;;;;;;;;;;;
713;31051;31205;61;4;5;2;;;;;;;;;;;;;;;;;
1321;31017;31195;215;4;4;2;;;;;;;;;;;;;;;;;
1338;31012;31105;59;4;4;2;;;;;;;;;;;;;;;;;
1339;30999;31087;59;5;4;2;;;;;;;;;;;;;;;;;
1341;30934;31075;65;4;4;1;;;;;;;;;;;;;;;;;
1461;30896;31040;77;5;4;2;;;;;;;;;;;;;;;;;
49999;30896;31047;125;3;4;1;;;;;;;;;;;;;;;;;
Sat Aug 04 08:00:00 CEST 2018;Sat Aug 04 17:08:09 CEST 2018;;;;;;;;;;;;;;;;;;;;;;
Generationen: 50000;Crossover: ox2;C-Rate: 0.8;Mutation: Exchange;M-Rate: 0.5;Selection: Tournament;T-Size: 3;Reinsertion-Rate: 0.2;Generation-Gap: 0.4;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
2;35897;37409;855;41;43;17;;;;;;;;;;;;;;;;;
4;35549;36947;809;37;40;7;;;;;;;;;;;;;;;;;
5;34175;36336;871;37;38;5;;;;;;;;;;;;;;;;;
7;33644;35850;1212;36;34;3;;;;;;;;;;;;;;;;;
12;33599;34827;609;27;29;5;;;;;;;;;;;;;;;;;
14;32747;34366;632;26;30;4;;;;;;;;;;;;;;;;;
16;32197;34054;837;28;29;3;;;;;;;;;;;;;;;;;
17;31926;33807;879;29;29;3;;;;;;;;;;;;;;;;;
31;31711;32424;422;27;30;3;;;;;;;;;;;;;;;;;
35;30160;32114;568;27;26;5;;;;;;;;;;;;;;;;;
41;30022;30950;620;12;14;7;;;;;;;;;;;;;;;;;
42;29939;30773;619;11;13;6;;;;;;;;;;;;;;;;;
49;29544;30109;189;16;12;5;;;;;;;;;;;;;;;;;
73;29430;29942;282;13;12;5;;;;;;;;;;;;;;;;;
74;29348;29874;252;11;12;3;;;;;;;;;;;;;;;;;
97;29252;29641;294;16;11;4;;;;;;;;;;;;;;;;;
145;29194;29515;330;13;12;2;;;;;;;;;;;;;;;;;
148;29036;29479;330;12;12;3;;;;;;;;;;;;;;;;;
196;29009;29297;325;10;12;3;;;;;;;;;;;;;;;;;
611;28802;29103;102;8;10;1;;;;;;;;;;;;;;;;;
1345;28671;28928;116;3;4;1;;;;;;;;;;;;;;;;;
1347;28625;28878;114;4;4;2;;;;;;;;;;;;;;;;;
